A02	Other Salmonella infections-
A021	Salmonella septicaemia1
A04	Other bacterial intestinal infections-
A045	Campylobacter enteritis1
A047	Enterocolitis due to Clostridium difficile15
A08	Viral and other specified intestinal infections-
A084	Viral intestinal infection, unspecified1
A09	Diarrhoea and gastro-enteritis of presumed infectious origin-
A099	Gastroenteritis and colitis of unspecified origin28
A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically-
A162	Tuberculosis of lung, without mention of bacteriological or histological confirmation3
A19	Miliary tuberculosis-
A199	Miliary tuberculosis, unspecified2
A28	Other zoonotic bacterial diseases, not elsewhere classified-
A280	Pasteurellosis1
A281	Cat-scratch disease1
A31	Infection due to other mycobacteria-
A310	Pulmonary mycobacterial infection2
A319	Mycobacterial infection, unspecified1
A32	Listeriosis-
A329	Listeriosis, unspecified1
A39	Meningococcal infection-
A394	Meningococcaemia, unspecified4
A40	Streptococcal septicaemia-
A400	Septicaemia due to streptococcus, group A1
A403	Septicaemia due to Streptococcus pneumoniae1
A409	Streptococcal septicaemia, unspecified7
A41	Other septicaemia-
A410	Septicaemia due to Staphylococcus aureus1
A412	Septicaemia due to unspecified staphylococcus4
A414	Septicaemia due to anaerobes1
A415	Septicaemia due to other Gram-negative organisms4
A419	Septicaemia, unspecified68
A48	Other bacterial diseases, not elsewhere classified-
A481	Legionnaires' disease3
A49	Bacterial infection of unspecified site-
A490	Staphylococcal infection, unspecified3
A491	Streptococcal infection, unspecified4
A498	Other bacterial infections of unspecified site5
A499	Bacterial infection, unspecified3
A81	Atypical virus infections of central nervous system-
A810	Creutzfeldt-Jakob disease36
A812	Progressive multifocal leukoencephalopathy1
A85	Other viral encephalitis, not elsewhere classified-
A858	Other specified viral encephalitis2
A86	Unspecified viral encephalitis3
A95	Yellow fever-
A959	Yellow fever, unspecified1
B00	Herpesviral [herpes simplex] infections-
B004	Herpesviral encephalitis2
B009	Herpesviral infection, unspecified1
B02	Zoster [herpes zoster]-
B029	Zoster without complication2
B15	Acute hepatitis A-
B159	Hepatitis A without hepatic coma1
B18	Chronic viral hepatitis-
B182	Chronic viral hepatitis C9
B20	Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases-
B201	HIV disease resulting in other bacterial infections1
B207	HIV disease resulting in multiple infections2
B208	HIV disease resulting in other infectious and parasitic diseases5
B21	Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms-
B213	HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue1
B23	Human immunodeficiency virus [HIV] disease resulting in other conditions-
B232	HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified1
B238	HIV disease resulting in other specified conditions1
B24	Unspecified human immunodeficiency virus [HIV] disease2
B25	Cytomegaloviral disease-
B250	Cytomegaloviral pneumonitis1
B258	Other cytomegaloviral diseases1
B27	Infectious mononucleosis-
B270	Gammaherpesviral mononucleosis1
B279	Infectious mononucleosis, unspecified1
B34	Viral infection of unspecified site-
B348	Other viral infections of unspecified site4
B44	Aspergillosis-
B441	Other pulmonary aspergillosis9
B49	Unspecified mycosis1
B59	Pneumocystosis8
B91	Sequelae of poliomyelitis3
B99	Other and unspecified infectious diseases2
